Security Risk Assessment,,,,,,,,
Risk #,Risk ,Risk Family,Control,Liklihood,Impact,Reasoning,Mitigating Controls,Total Risk Score
1,,,VPC3 File storage only supports AES-128 Encryption,,,,Placeholder       Assume none,
2,,,Databases in production are unencrypted,,,,Placeholder       Assume none,
2b,,,Databases in production are unencrypted,,,,Placeholder       Assume none,
3,,,Internal network users require a 7-character password,,,,Placeholder       Assume none,
4,,,Passwords never expire,,,,Placeholder       Assume none,
5,,,VPN Access does not require MFA,,,,Placeholder       Assume none,
6,,,TLS V1.1 is used between the cloud production environment and SwiftTech’s physical location,,,,Placeholder       Assume none,
7,,,Application development Tiers are not logically segmented from Business Application servers,,,,Placeholder       Assume none,
7b,,,Application development Tiers are not logically segmented from Business Application servers,,,,Placeholder       Assume none,
8,,,Development Tier servers are unpatched and contain multiple vulnerabilities,,,,Placeholder       Assume none,
9,,,Application code is not scanned for vulnerabilities before being published into production environment,,,,Placeholder       Assume none,
,,,,,,,,
Notes:,,,,,,,,
Risk - descriptions should be some reasonable approximation of what is written above but does not need to be exact,,,,,,,,
"Reasoning - The reasoning should approximately match to the user's assessment of the likelihood and impact of a potential risk.  If, for instance the likelihood and impact are marked high, the reasoning should reflect why it might be high",,,,,,,,
,,,,,,,,
Mitigating Controls - For the purpose of this exercise we did not include mitigating controls,,,,,,,,
,,,,,,,,
"Total Risk Score - Should not be less than a reasonable approximation of the likelihood x impact.  For instance, if L=High and I=High (and no mitigating control exists) then Risk cannot equal Low",,,,,,,,
